,playerID,yearID,POS,G,InnOuts,PO,A,E,DP,birthYear,age,Range Factor,Fielding %,RF Yearly Avg
19050,elberki01,1907,SS,118,,295,400,52.0,31,1875.0,32.0,5.889830508474576,93.0388219544846,4.503463257183477
37834,bartedi01,1934,SS,146,,350,483,40.0,93,1907.0,27.0,5.705479452054795,95.41809851088202,4.421732537933992
96884,weisswa01,1993,SS,153,3967.0,229,406,15.0,80,1963.0,30.0,4.150326797385621,97.6923076923077,4.175549930963726
89634,weisswa01,1988,SS,147,3722.0,254,431,15.0,83,1963.0,25.0,4.659863945578231,97.85714285714285,4.016193244584738
19033,doolami01,1907,SS,145,,327,463,60.0,59,1880.0,27.0,5.448275862068965,92.94117647058823,4.503463257183477
58245,koppejo01,1962,SS,118,3018.0,197,356,25.0,63,1930.0,32.0,4.686440677966102,95.67474048442907,4.117235924948832
19010,davisge01,1907,SS,132,,223,485,38.0,53,1870.0,37.0,5.363636363636363,94.90616621983914,4.503463257183477
19009,dahlebi01,1907,SS,143,,292,426,45.0,39,1870.0,37.0,5.020979020979021,94.10222804718218,4.503463257183477
96850,vizquom01,1993,SS,155,3992.0,245,475,15.0,108,1967.0,26.0,4.645161290322581,97.95918367346938,4.175549930963726
66762,petrori01,1970,SS,141,3636.0,262,393,20.0,77,1943.0,27.0,4.6453900709219855,97.03703703703704,4.03187665117491
58288,lillibo01,1962,SS,99,2370.0,169,290,13.0,54,1930.0,32.0,4.636363636363637,97.2457627118644,4.117235924948832
130560,peraljh01,2013,SS,106,2807.0,140,294,4.0,54,1982.0,31.0,4.09433962264151,99.08675799086758,4.066500852798328
89588,uribejo01,1988,SS,140,3677.0,212,404,19.0,77,1959.0,29.0,4.4,97.00787401574803,4.016193244584738
97021,bellja01,1994,SS,110,2831.0,152,380,15.0,69,1965.0,29.0,4.836363636363636,97.25776965265082,4.058453529096009
89571,trammal01,1988,SS,125,3191.0,195,355,11.0,67,1958.0,30.0,4.4,98.0392156862745,4.016193244584738
67113,alleyge01,1971,SS,108,2646.0,187,316,22.0,55,1940.0,31.0,4.657407407407407,95.80952380952381,4.16398865632152
97071,bordimi01,1994,SS,112,2878.0,179,308,13.0,67,1965.0,29.0,4.348214285714286,97.39999999999999,4.058453529096009
